time,open,high,low,close,Volume
1577849400,39108,39113,38957,39052,641
1577856600,39058,39066,39037,39041,356
1577863800,39041,39056,39030,39035,398
1577871000,39037,39110,39034,39072,634
1577935800,39051,39110,39041,39103,840
1577943000,39103,39150,39100,39121,739
1577950200,39118,39143,39091,39126,651
1577957400,39130,39175,39110,39163,734
1577964600,39160,39260,39155,39235,1142
1577971800,39226,39400,39212,39350,1440
1577979000,39349,39383,39227,39265,1071
1577986200,39267,39298,39255,39296,600
1578022200,39500,39854,39500,39823,1826
1578029400,39825,39920,39816,39827,1229
1578036600,39829,40030,39829,40021,1333
1578043800,40027,40143,39990,40111,1518
1578051000,40108,40140,39879,39929,1296
1578058200,39932,40130,39925,40098,1398
1578065400,40097,40110,40040,40060,931
1578072600,40064,40135,40062,40130,839
1578281400,40250,41096,40250,40987,2185
1578288600,40986,41004,40807,40816,1676
1578295800,40825,40944,40761,40931,1380
1578303000,40940,40980,40850,40863,829
1578310200,40862,40915,40798,40801,966
1578317400,40800,40842,40537,40541,1355
1578324600,40547,40634,40381,40449,1713
1578331800,40449,40527,40416,40527,612
1578367800,40350,40350,40203,40304,1110
1578375000,40307,40525,40307,40484,1544
1578382200,40487,40629,40418,40436,1429
1578389400,40438,40520,40412,40497,744
1578396600,40499,40560,40436,40488,996
1578403800,40495,40693,40481,40610,1466
1578411000,40615,40690,40553,40641,891
1578418200,40644,40688,40642,40685,559
1578454200,40946,41278,40946,41233,2036
1578461400,41235,41293,41070,41082,1895
1578468600,41083,41115,40820,40868,2045
1578475800,40867,40970,40735,40761,1441
1578483000,40756,40778,40380,40420,2254
1578490200,40423,40655,40423,40544,1393
1578497400,40533,40555,39922,40131,2390
1578504600,40117,40178,40057,40080,470
1578540600,40036,40144,40018,40027,908
1578547800,40024,40044,39610,39799,2094
1578555000,39805,39889,39742,39841,1040
1578562200,39841,39853,39708,39721,933
1578569400,39723,39963,39717,39859,1409
1578576600,39850,39890,39711,39755,1378
1578583800,39750,39833,39643,39789,1185
1578591000,39783,39900,39748,39900,499
1578627000,39718,39769,39608,39678,897
1578634200,39680,39798,39641,39760,992
1578641400,39759,39790,39695,39711,896
1578648600,39704,39707,39568,39659,1061
1578655800,39659,39709,39600,39627,1015
1578663000,39618,39789,39595,39748,1608
1578670200,39741,39913,39730,39883,1313
1578677400,39878,39885,39836,39878,552
1578886200,39722,39801,39712,39727,752
1578893400,39721,39740,39660,39700,930
1578900600,39700,39720,39525,39542,1303
1578907800,39550,39650,39540,39642,913
1578915000,39634,39753,39625,39705,1034
1578922200,39694,39753,39577,39628,955
1578929400,39630,39656,39566,39566,554
1578936600,39566,39590,39523,39548,678
1578972600,39500,39500,39262,39308,1015
1578979800,39302,39436,39284,39425,1199
1578987000,39420,39479,39380,39419,774
1578994200,39419,39484,39381,39446,698
1579001400,39447,39459,39376,39415,597
1579008600,39459,39530,39372,39435,982
1579015800,39431,39444,39377,39419,619
1579023000,39422,39465,39410,39441,541
1579059000,39646,39708,39612,39680,905
1579066200,39685,39696,39609,39629,859
1579073400,39625,39680,39607,39659,726
1579080600,39660,39678,39612,39642,382
1579087800,39631,39636,39500,39523,793
1579095000,39525,39700,39520,39549,1163
1579102200,39549,39578,39477,39576,614
1579109400,39576,39630,39563,39600,474
1579145400,39655,39694,39629,39652,858
1579152600,39651,39662,39607,39646,540
1579159800,39647,39747,39604,39730,853
1579167000,39726,39750,39695,39727,566
1579174200,39725,39775,39710,39743,466
1579181400,39726,39730,39642,39669,913
1579188600,39662,39687,39588,39686,592
1579195800,39686,39699,39663,39690,422
1579231800,39730,39770,39702,39768,627
1579239000,39769,39821,39740,39778,872
1579246200,39779,39797,39760,39764,523
1579253400,39768,39836,39740,39800,769
1579260600,39795,39940,39793,39870,974
1579267800,39855,39876,39782,39810,829
1579275000,39810,39909,39790,39887,570
1579282200,39899,39983,39890,39975,632
1579491000,39900,39960,39880,39959,758
1579498200,39962,39996,39947,39975,742
1579505400,39977,40000,39945,39975,703
1579512600,39970,39984,39955,39973,281
1579519800,39974,39984,39917,39946,493
1579527000,39947,39954,39911,39933,411
1579534200,39932,39969,39932,39960,489
1579541400,39963,39970,39926,39953,538
1579577400,40090,40176,40090,40133,960
1579584600,40132,40165,40079,40090,720
1579591800,40090,40100,39840,39905,1367
1579599000,39904,39915,39820,39885,836
1579606200,39887,39948,39805,39806,858
1579613400,39806,39905,39675,39880,1609
1579620600,39880,39945,39870,39920,727
1579627800,39920,39981,39875,39950,506
1579663800,39817,39838,39752,39830,775
1579671000,39830,39840,39776,39836,586
1579678200,39840,39937,39827,39918,933
1579685400,39918,39974,39882,39892,844
1579692600,39894,39910,39843,39892,720
1579699800,39889,39933,39831,39845,710
1579707000,39841,39891,39825,39885,438
1579714200,39886,39933,39884,39892,591
1579750200,39904,39994,39902,39963,639
1579757400,39966,39999,39900,39934,768
1579764600,39937,39940,39847,39884,730
1579771800,39884,39923,39871,39885,455
1579779000,39873,39974,39836,39949,645
1579786200,39951,40194,39900,40104,1627
1579793400,40110,40288,40082,40220,985
1579800600,40216,40311,40216,40237,584
1579836600,40214,40214,40005,40041,1215
1579843800,40033,40067,40028,40041,597
1579851000,40039,40039,39970,40020,739
1579858200,40019,40129,40010,40036,816
1579865400,40040,40064,39951,40011,680
1579872600,40014,40390,40010,40385,1875
1579879800,40389,40440,40249,40386,1232
1579887000,40375,40390,40295,40355,585
1580095800,40500,40619,40500,40535,703
1580103000,40535,40596,40520,40525,837
1580110200,40530,40638,40480,40637,905
1580117400,40637,40763,40622,40681,912
1580124600,40681,40717,40590,40635,936
1580131800,40638,40810,40531,40564,1280
1580139000,40565,40695,40555,40600,1096
1580146200,40590,40616,40536,40595,615
1580182200,40562,40608,40483,40525,838
1580189400,40525,40525,40460,40472,751
1580196600,40472,40577,40431,40530,905
1580203800,40525,40536,40467,40520,549
1580211000,40520,40530,40299,40322,1380
1580218200,40350,40441,40203,40212,1284
1580225400,40220,40283,40156,40203,948
1580232600,40205,40269,40200,40240,373
1580268600,40111,40118,40066,40108,842
1580275800,40111,40242,40111,40227,1165
1580283000,40225,40330,40197,40314,918
1580290200,40308,40359,40265,40323,881
1580297400,40319,40350,40268,40293,534
1580304600,40288,40458,40250,40334,1328
1580311800,40335,40365,40293,40317,715
1580319000,40316,40389,40316,40379,553
1580355000,40486,40625,40472,40603,778
1580362200,40600,40706,40551,40652,945
1580369400,40650,40744,40640,40672,530
1580376600,40678,40774,40678,40720,392
1580383800,40720,40832,40705,40751,451
1580391000,40758,40809,40620,40764,659
1580398200,40772,40920,40753,40900,350
1580405400,40915,41068,40865,41052,151
1580441400,40881,40881,40639,40708,874
1580448600,40714,40760,40682,40703,614
1580455800,40700,40780,40668,40780,782
1580463000,40780,40898,40760,40835,961
1580470200,40833,40918,40790,40847,731
1580477400,40850,41031,40824,41030,1207
1580484600,41031,41185,40944,41013,1493
1580491800,41018,41128,41011,41047,746
1580700600,41079,41140,40951,40976,1243
1580707800,40980,41036,40823,40840,1172
1580715000,40838,40954,40784,40867,1097
1580722200,40863,40903,40803,40815,642
1580729400,40819,40865,40752,40767,585
1580736600,40767,40848,40582,40612,1022
1580743800,40615,40816,40607,40735,670
1580751000,40742,40787,40685,40749,391
1580787000,40651,40689,40588,40608,671
1580794200,40614,40632,40460,40547,1102
1580801400,40549,40589,40376,40418,1005
1580808600,40415,40555,40355,40512,861
1580815800,40509,40534,40365,40383,521
1580823000,40388,40437,40040,40060,1630
1580830200,40055,40112,39961,39974,1126
1580837400,39972,40016,39927,40010,569
1580873400,40108,40205,40108,40197,797
1580880600,40200,40298,40200,40275,851
1580887800,40280,40293,40030,40036,1116
1580895000,40027,40065,39900,39967,1211
1580902200,39967,40132,39950,39990,1037
1580909400,39990,40192,39988,40170,815
1580916600,40170,40200,40090,40141,645
1580923800,40141,40224,40141,40213,511
1580959800,40081,40137,40030,40080,1051
1580967000,40085,40249,40052,40194,1026
1580974200,40194,40333,40182,40310,616
1580981400,40310,40397,40275,40360,978
1580988600,40361,40365,40282,40296,650
1580995800,40288,40421,40239,40322,955
1581003000,40340,40360,40270,40341,379
1581010200,40346,40389,40333,40385,454
1581046200,40393,40467,40332,40376,688
1581053400,40380,40410,40302,40390,855
1581060600,40396,40493,40390,40493,708
1581067800,40498,40600,40490,40515,1095
1581075000,40517,40570,40474,40497,595
1581082200,40403,40724,40402,40615,1493
1581089400,40613,40616,40501,40560,802
1581096600,40561,40663,40561,40660,503
1581305400,40566,40638,40556,40601,699
1581312600,40602,40619,40514,40590,739
1581319800,40585,40710,40550,40653,746
1581327000,40666,40684,40585,40590,438
1581334200,40590,40635,40560,40600,509
1581341400,40606,40715,40580,40631,826
1581348600,40636,40679,40615,40660,261
1581355800,40660,40710,40656,40684,440
1581391800,40566,40566,40435,40460,683
1581399000,40455,40470,40401,40455,783
1581406200,40453,40496,40381,40480,868
1581413400,40472,40503,40430,40485,394
1581420600,40484,40542,40436,40524,473
1581427800,40524,40577,40410,40430,1092
1581435000,40425,40452,40300,40402,1216
1581442200,40402,40450,40390,40448,420
1581478200,40431,40438,40359,40365,598
1581485400,40365,40395,40332,40354,633
1581492600,40345,40400,40306,40385,867
1581499800,40382,40470,40376,40404,1000
1581507000,40410,40442,40362,40412,448
1581514200,40404,40433,40365,40399,646
1581521400,40403,40549,40390,40460,704
1581528600,40464,40504,40460,40483,525
