time,open,high,low,close,Volume
1577849400,46699,46699,46200,46539,663
1577856600,46540,46570,46515,46539,313
1577863800,46540,46628,46530,46570,331
1577871000,46576,46766,46545,46660,821
1577935800,46656,46689,46593,46685,866
1577943000,46685,46750,46644,46678,1056
1577950200,46680,46779,46625,46771,974
1577957400,46772,46829,46710,46777,1073
1577964600,46767,47198,46755,46973,1677
1577971800,46985,47187,46864,47050,2859
1577979000,47050,47090,46900,46990,1263
1577986200,46980,47040,46973,46995,849
1578022200,47199,47695,47199,47673,2151
1578029400,47670,47844,47605,47621,1680
1578036600,47627,47924,47625,47815,1875
1578043800,47814,47867,47655,47819,1641
1578051000,47811,47850,47380,47475,1924
1578058200,47468,47619,47382,47560,1989
1578065400,47555,47580,47465,47515,1117
1578072600,47519,47550,47500,47520,977
1578281400,48300,48660,48251,48562,1957
1578288600,48549,48588,48236,48284,1673
1578295800,48272,48416,48250,48369,1297
1578303000,48383,48431,48308,48348,928
1578310200,48345,48480,48317,48317,1323
1578317400,48317,48340,47720,47748,2239
1578324600,47739,47873,47310,47535,2334
1578331800,47520,47620,47500,47619,636
1578367800,47324,47402,47215,47360,1220
1578375000,47360,47765,47360,47635,2117
1578382200,47640,47837,47487,47493,1577
1578389400,47485,47597,47423,47545,882
1578396600,47548,47700,47418,47583,1577
1578403800,47581,47918,47545,47833,2455
1578411000,47833,48173,47732,48031,1948
1578418200,48031,48149,48031,48140,1116
1578454200,48224,48850,48224,48774,2087
1578461400,48788,48925,48600,48605,1853
1578468600,48614,48626,48170,48263,2590
1578475800,48268,48382,48131,48179,1635
1578483000,48174,48225,47503,47625,2605
1578490200,47640,48062,47640,47909,2263
1578497400,47904,47919,47100,47450,2834
1578504600,47458,47480,47300,47300,719
1578540600,47200,47322,47067,47170,1276
1578547800,47135,47152,46495,46794,2909
1578555000,46785,46878,46700,46800,1077
1578562200,46815,46850,46677,46700,871
1578569400,46713,46969,46537,46810,2121
1578576600,46800,46850,46433,46520,2147
1578583800,46520,46654,46365,46580,1556
1578591000,46578,46670,46520,46670,671
1578627000,46599,46599,46350,46448,1190
1578634200,46452,46682,46381,46608,1411
1578641400,46610,46677,46510,46535,1158
1578648600,46535,46570,46401,46555,1127
1578655800,46546,46609,46310,46400,1265
1578663000,46388,46900,46388,46810,2751
1578670200,46802,46990,46752,46937,1909
1578677400,46943,46954,46860,46890,745
1578886200,46810,46818,46620,46658,1035
1578893400,46660,46705,46553,46599,1052
1578900600,46598,46648,46382,46397,1338
1578907800,46400,46540,46384,46505,969
1578915000,46490,46680,46475,46602,1230
1578922200,46598,46699,46387,46490,1873
1578929400,46492,46580,46428,46490,996
1578936600,46490,46532,46388,46425,710
1578972600,46340,46340,45905,45964,1461
1578979800,45968,46020,45811,46005,1746
1578987000,46005,46008,45904,45975,845
1578994200,45977,46094,45916,46069,836
1579001400,46053,46061,45915,45977,982
1579008600,46022,46166,45877,46062,1854
1579015800,46060,46079,45882,45931,1145
1579023000,45934,45980,45865,45898,708
1579059000,46170,46280,46170,46250,1117
1579066200,46300,46319,46071,46132,1214
1579073400,46130,46220,46100,46116,721
1579080600,46130,46178,46100,46150,525
1579087800,46145,46187,45881,45975,1403
1579095000,45967,46450,45966,46227,2339
1579102200,46222,46348,46187,46307,875
1579109400,46291,46418,46291,46360,681
1579145400,46277,46329,46200,46260,890
1579152600,46255,46266,46164,46215,802
1579159800,46215,46430,46181,46398,1030
1579167000,46398,46543,46335,46519,960
1579174200,46519,46579,46446,46540,1187
1579181400,46516,46516,46352,46435,1479
1579188600,46430,46479,46300,46450,1029
1579195800,46453,46454,46401,46405,676
1579231800,46529,46594,46487,46562,652
1579239000,46560,46684,46560,46633,1179
1579246200,46639,46667,46572,46605,519
1579253400,46610,46760,46585,46692,1029
1579260600,46687,46970,46683,46829,1389
1579267800,46825,46830,46487,46536,1882
1579275000,46536,46719,46451,46684,1331
1579282200,46687,46807,46683,46779,759
1579491000,46708,46799,46601,46799,1231
1579498200,46795,46880,46783,46831,999
1579505400,46827,46880,46730,46793,928
1579512600,46795,46828,46746,46803,567
1579519800,46803,46820,46645,46740,783
1579527000,46740,46819,46656,46760,762
1579534200,46756,46790,46549,46755,633
1579541400,46757,46757,46630,46680,615
1579577400,46826,46998,46826,46960,1095
1579584600,46965,46976,46820,46835,1032
1579591800,46841,46870,46562,46700,1681
1579599000,46700,46745,46485,46577,1021
1579606200,46577,46673,46302,46305,1407
1579613400,46301,46314,45734,46120,3301
1579620600,46118,46364,46090,46180,1894
1579627800,46190,46260,46059,46200,698
1579663800,46055,46110,45953,46092,1039
1579671000,46098,46130,46000,46085,1051
1579678200,46079,46226,46073,46149,1212
1579685400,46150,46293,46127,46184,1164
1579692600,46184,46243,46011,46231,1499
1579699800,46231,46444,46087,46243,2212
1579707000,46236,46280,46108,46181,1113
1579714200,46181,46265,46176,46200,684
1579750200,46175,46187,46034,46158,1211
1579757400,46155,46219,45991,46063,1273
1579764600,46064,46090,45900,45942,1236
1579771800,45930,46027,45862,45890,818
1579779000,45891,46016,45771,45983,1594
1579786200,45976,46285,45902,46207,2563
1579793400,46209,46420,46110,46302,1486
1579800600,46302,46411,46296,46351,852
1579836600,46236,46237,46111,46154,886
1579843800,46154,46275,46150,46165,668
1579851000,46164,46202,46101,46195,744
1579858200,46192,46378,46166,46232,1343
